"year" "lower" "upper" "NumbersTotArea" "midw" "Nden"
"354" 1988 841.3951416 1188.502227 104.080878754 1014.9486843 1.04242085892368e-08
"355" 1989 841.3951416 1188.502227 73.582881726 1014.9486843 7.36968516111312e-09
"356" 1990 841.3951416 1188.502227 41.963990414 1014.9486843 4.20289869329586e-09
"357" 1991 841.3951416 1188.502227 61.476277917 1014.9486843 6.15714963179127e-09
"358" 1992 841.3951416 1188.502227 44.223139555 1014.9486843 4.4291635188998e-09
"359" 1993 841.3951416 1188.502227 46.149876682 1014.9486843 4.6221356569997e-09
"360" 1994 841.3951416 1188.502227 161.76107134 1014.9486843 1.62011617258927e-08
"361" 1995 841.3951416 1188.502227 47.329936099 1014.9486843 4.74032437386839e-09
"362" 1996 841.3951416 1188.502227 71.065125557 1014.9486843 7.11751957799457e-09
"363" 1997 841.3951416 1188.502227 63.960572271 1014.9486843 6.40596385062937e-09
"364" 1998 841.3951416 1188.502227 68.467484527 1014.9486843 6.85735313569655e-09
"365" 1999 841.3951416 1188.502227 56.876492878 1014.9486843 5.69645868369198e-09
"366" 2000 841.3951416 1188.502227 20.757245902 1014.9486843 2.07893960553455e-09
"367" 2001 841.3951416 1188.502227 43.041719902 1014.9486843 4.31083856774904e-09
"368" 2002 841.3951416 1188.502227 66.253987612 1014.9486843 6.63566060360207e-09
"369" 2003 841.3951416 1188.502227 307.677427728 1014.9486843 3.0815397825542e-08
"370" 2004 841.3951416 1188.502227 161.434427821 1014.9486843 1.61684467813501e-08
"371" 2005 841.3951416 1188.502227 141.58071756 1014.9486843 1.41800006853089e-08
"372" 2006 841.3951416 1188.502227 31.609560613 1014.9486843 3.16585195271878e-09
"373" 2007 841.3951416 1188.502227 58.74923129 1014.9486843 5.88402258662467e-09
"374" 2008 841.3951416 1188.502227 123.082823818 1014.9486843 1.23273462387231e-08
"375" 2009 841.3951416 1188.502227 88.522350992 1014.9486843 8.86594600850044e-09
"376" 2010 841.3951416 1188.502227 35.000750968 1014.9486843 3.50549623752426e-09
"377" 2011 841.3951416 1188.502227 24.708568256 1014.9486843 2.47468384707543e-09
"378" 1983 1188.502227 1678.804018 47.247193901 1433.6531225 3.35002587935704e-09
"379" 1984 1188.502227 1678.804018 46.760379031 1433.6531225 3.31550864609292e-09
"380" 1985 1188.502227 1678.804018 58.619322834 1433.6531225 4.15635791907059e-09
"381" 1986 1188.502227 1678.804018 37.922539301 1433.6531225 2.68886842963589e-09
"382" 1987 1188.502227 1678.804018 26.342668761 1433.6531225 1.86780663134393e-09
"383" 1988 1188.502227 1678.804018 41.673613812 1433.6531225 2.95483547761714e-09
"384" 1989 1188.502227 1678.804018 31.661807232 1433.6531225 2.24495604620805e-09
"385" 1990 1188.502227 1678.804018 16.633769301 1433.6531225 1.17940459588702e-09
"386" 1991 1188.502227 1678.804018 20.950023195 1433.6531225 1.48544525254641e-09
"387" 1992 1188.502227 1678.804018 9.754842509 1433.6531225 6.91659591946909e-10
"388" 1993 1188.502227 1678.804018 22.060022663 1433.6531225 1.56414890956495e-09
"389" 1994 1188.502227 1678.804018 43.587329183 1433.6531225 3.09052599147087e-09
"390" 1995 1188.502227 1678.804018 25.897401706 1433.6531225 1.83623531388959e-09
"391" 1996 1188.502227 1678.804018 35.372547932 1433.6531225 2.50806325639774e-09
"392" 1997 1188.502227 1678.804018 19.500829695 1433.6531225 1.38269130403957e-09
"393" 1998 1188.502227 1678.804018 26.111854912 1433.6531225 1.85144095322378e-09
"394" 1999 1188.502227 1678.804018 21.208012996 1433.6531225 1.50373782060392e-09
"395" 2000 1188.502227 1678.804018 19.031125505 1433.6531225 1.34938729035699e-09
"396" 2001 1188.502227 1678.804018 20.615828824 1433.6531225 1.46174945816905e-09
"397" 2002 1188.502227 1678.804018 27.855597201 1433.6531225 1.97507965666339e-09
"398" 2003 1188.502227 1678.804018 33.291400583 1433.6531225 2.36050110715108e-09
"399" 2004 1188.502227 1678.804018 28.212975677 1433.6531225 2.00041930214231e-09
"400" 2005 1188.502227 1678.804018 40.948888749 1433.6531225 2.90344940542932e-09
"401" 2006 1188.502227 1678.804018 13.984110741 1433.6531225 9.91532597265067e-10
"402" 2007 1188.502227 1678.804018 29.042420812 1433.6531225 2.05923047034796e-09
"403" 2008 1188.502227 1678.804018 57.995354745 1433.6531225 4.1121159424905e-09
"404" 2009 1188.502227 1678.804018 29.994367463 1433.6531225 2.12672751415758e-09
"405" 2010 1188.502227 1678.804018 31.43963431 1433.6531225 2.22920304635896e-09
"406" 2011 1188.502227 1678.804018 13.407980447 1433.6531225 9.50682522680199e-10
"407" 1983 1678.804018 2371.373706 15.354110481 2025.088862 7.70720309245126e-10
"408" 1984 1678.804018 2371.373706 28.467845402 2025.088862 1.42898194193161e-09
"409" 1985 1678.804018 2371.373706 24.017423113 2025.088862 1.20558698544136e-09
"410" 1986 1678.804018 2371.373706 20.46581275 2025.088862 1.02730910730073e-09
"411" 1987 1678.804018 2371.373706 10.351379028 2025.088862 5.19601448449007e-10
"412" 1988 1678.804018 2371.373706 18.072626046 2025.088862 9.07179869018206e-10
"413" 1989 1678.804018 2371.373706 11.646881598 2025.088862 5.8463094935131e-10
"414" 1990 1678.804018 2371.373706 7.490865014 2025.088862 3.76014084778656e-10
